body,title,url
"
Con golpes en el rostro y el torso descubierto fue hallado el cuerpo de una mujer en calles de Nezahualcóyotl.
La víctima no fue identificada, pero se investiga el caso como feminicidio. El cuerpo fue localizado por vecinos de la colonia Ampliación Ciudad Lago.
Las primeras indagatorias establecieron que el crimen ocurrió durante la madrugada del domingo, afuera de un domicilio de la calle Eje Uno marcado con el número 15, lote 33. Un vecino del lugar encontró el cuerpo tirado y alarmado pidió el apoyo de los uniformados, quienes acudieron de inmediato al lugar.
También te puede interesar: Femicidio: Asesinan a golpes en la cara a una mujer en Santa Úrsula Coapa
La víctima, de entre 27 y 30 años, ya no presentaba signos vitales. Así lo confirmaron paramédicos que fueron requeridos en el sitio. Tenía golpes, la mayoría de ellos en el rostro.
“Se encuentra vestida, portando únicamente un mallón de color negro y en la parte superior se le apreció una blusa de tirantes. A simple vista presenta lesiones contusas en el rostro”, detalló el informe policial.
Por los golpes en el rostro, las autoridades presumen que la mujer pudo haber estado involucrada en una riña que se registró cerca de ahí durante la madrugada. Indagan si ella tuvo algo que ver en el pleito.
Alrededor de las 11:00 horas, peritos de la Fiscalía General de Justicia del Estado de México trasladaron el cuerpo al servicio médico forense. Hasta ayer, la mujer no había sido identificada.
lr
",Hallan cadáver de mujer asesinada a golpes en Neza,http://www.eluniversal.com.mx/metropoli/edomex/hallan-cadaver-de-mujer-asesinada-golpes-en-neza
"

Reuters
 
""Lucha contra el terrorismo. Vota republicano"", lee la pancarta que define claramente el sentimiento del estado rural de Wisconsin.

Con un nivel de participación que no se había visto en décadas para unas elecciones de mitad de período, los votantes en Estados Unidos fueron a las urnas exhortados por una de las retóricas políticas más cáusticas y divisorias en la historia del país.

Fueron interpretadas como un referendo sobre los dos años de gestión del presidente Donald Trump, con unos votantes decididos a obstaculizar a un mandatario que creen que está poniendo en peligro la democracia y otros convencidos en darle continuidad a las políticas de quien ven como un salvador de la nación.

El veredicto final: un país profundamente polarizado.

Las encuestas a boca de urna realizadas por las cadenas de televisión, según el diario The Washington Post, encontraron que casi ocho de cada 10 estadounidenses dijeron creer que el país está más dividido que nunca.

Un análisis de las campañas más reñidas, de los resultados electorales y su composición demográfica revela dónde están las grandes grietas de la sociedad estadounidense.

BBC
 
En Florida, los grandes centros urbanos fueron para los demócratas. En el mapa, aparecen en azul Tallahassee (norte), Tampa y Orlando en el centro, y el área metropolitana de Miami, en el sur.

Rural vs. urbano

Si se observa cómo quedó el mapa de Estados Unidos tras los resultados electorales, se verá una gran concentración de azul (el color de los demócratas) en torno a los grandes centros urbanos en las costas este y oeste del país.

Pero esos puntos azules están interrumpidos por una gran mancha roja (el color republicano) en el interior del país, que corresponde al territorio urbano, el de los agricultores. Tradicional, fundamentalista y conservador.

Quedó plasmado que, de muchas maneras, estas fueron unas elecciones del país rural vs. el país urbano (y suburbano) que confirma las brechas que están surgiendo por todo el país.

BBC
 
La costa este y oeste, más urbanas, se ven dominadas por los demócratas. El centro, generalmente más rural, aparece con el rojo de los republicanos.

La victoria demócrata en la Cámara de Representantes se debió en buena parte, no sólo a su base en las grandes ciudades, sino el los distritos suburbanos de votantes con educación universitaria que antes habían elegido a republicanos.

Analistas interpretan que detrás del cambio está que muchos pudieron haberse sentido incómodos con las políticas y retórica del presidente.

La brecha racial

""El presidente está haciendo algo que nunca antes había visto en mi vida. En lugar de estar uniendo al pueblo estadounidense, nos está tratando de dividir basado en el color de nuestra piel"".

Esas fueron algunas de las declaraciones de Bernie Sanders, excandidato a la nominación presidencial demócrata, al aceptar su reelección al Senado por el estado de Vermont.

Las palabras del senador, símbolo del ala progresista del Partido Demócrata (aunque él es independiente), tienen resonancia frente a varias campañas que se llevaron a cabo en un ambiente teñido de racismo.

Getty Images
 
La campaña de Andrew Gillum para gobernador de Florida fue una de la que estuvo teñida de incidentes raciales.

Dos ejemplos fueron las contiendas las gobernaciones de Florida y Georgia.

En la primera, el demócrata Andrew Gillum fracasó en su intento de ser el primer gobernador negro de ese estado. En la segunda, participaba Stacey Abrams con miras a ser la primera mujer afroestadounidense gobernadora.

Durante su intensa gira en apoyo a los candidato republicanos, el presidente Trump declaró que Gillum ""no estaba equipado"" para el cargo. Con anterioridad, el presidente había afirmado que Abrams ""no está calificada"" para ser gobernadora de Georgia.

Las críticas de animosidad racial no se hicieron esperar en las redes sociales.

Getty Images
 
Stacey Abrams rehusó aceptar la derrota en Georgia, aludiendo irregularidades en los puestos de votación.

Más significativas han sido las irregularidades que se denunciaron en los puestos de votación en Georgia, que mayoritariamente afectaron a los afroestadounidenses.

Y las denuncias de obstáculos impuestos por las autoridades electorales -controladas por republicanos- para impedir la participación de las minorías.

El resultado final en Georgia, le da la victoria al republicano Brian Kemp por un estrecho margen, pero Stacey Abrams rehúsa a aceptar la derrota.

Mujeres por un lado, hombres por el otro

Fueron unas elecciones que, una vez más, vieron a los hombres y mujeres dirigirse en direcciones opuestas.

Según una encuesta del The Washington Post, los candidatos demócratas contaron con el apoyo femenino, en especial aquellas con educación universitaria, mientras que los republicanos recibieron el voto de hombres blancos sin títulos universitarios.

Getty Images
 
Las mujeres fueron decisivas en darle la victoria a los demócratas en el distrito 10 de Virginia, tradicionalmente republicano.

La intención de voto de las mujeres era bastante superior a la de los hombres, encontró la encuesta, pero la diferencia se cerró tras la batalla por la confirmación del magistrado conservador Brett Kavannaugh a la Corte Suprema, que fue acusado de abuso sexual.

El columnista de The Washington Post Dan Balz escribió que la lucha por la confirmación generó un amargo enfrentamiento que ayudó a motivar a las filas republicanas para salir a votar por los partidarios del presidente Trump.

Un Congreso dividido

Los demócratas lograron romper el control que los republicanos ostentaban en ambas cámaras del Congreso.

Getty Images
 
El capitolio en Washington DC será nuevamente un recinto dividido.

En la Cámara de Representantes,lograron la mayoría, pero en el Senado, incluso perdieron escaños, incrementando la superioridad que los republicanos ya tenían.

Con el control de la cámara baja, los demócratas no descartan exigir que se hagan públicas las declaraciones de renta que hasta ahora Trump ha rehusado dar a conocer.

Además, podrían iniciar una investigación del presidente por sus relaciones con Rusia. Así que no se espera que ambas cámaras trabajen coordinadamente como antes lo hacían.

En sus primeros dos años de gobierno, Trump tuvo sus idas y venidas con un Congreso completamente republicano. A partir de ahora será otra historia.

El ejecutivo contra el legislativo

Tanto la mayoría de representantes demócratas como el presidente tendrán que acostumbrarse a negociar. El presidente decidirá si puede trabajar con ellos.

La demócrata Nancy Pelosi, favorita para ser la nueva presidenta de la Cámara de Representantes, enfatizó: ""Hoy se trata más que de demócratas y republicanos. Se trata de la recuperación del sistema de controles que impone la Constitución a la administración Trump"".

Getty Images
 
La demócrata Nancy Pelosi es nuevamente la presidenta de la Cámara de Representantes.

Con ello, los demócratas tendrán mayor posibilidad de bloquear los planes legislación del presidente, especialmente su declarado gran proyecto de construir un gran muro en la frontera con México.

También han prometido progresar con una agenta que incluye cambios en política, cuidado de salud e inversión en infraestructura. Igualmente tendrán que aprobar el presupuesto.

Todas estas posturas pueden ser negociadas. La gran incógnita es hasta dónde están dispuestos los demócratas a llevar sus intenciones de investigar al presidente y su gobierno.

El enfrentamiento entre el ejecutivo y los legisladores podría provocar mayores fisuras en un país ya profundamente dividido.

Ahora puedes recibir notificaciones de BBC Mundo. Descarga la nueva versión de nuestra app y actívalas para no perderte nuestro mejor contenido.
 
","Los mapas del resultado de las ""mid term"" que muestran la polarización en EU",http://www.eluniversal.com.mx/mundo/los-mapas-del-resultado-de-las-mid-term-que-muestran-la-polarizacion-en-eu
"Un hombre de 32 años fue arrestado por presuntamente asesinar al amante de su esposa, ayer en la colonia Progreso Nacional, alcaldía Gustavo A. Madero. 
Cerca de las 22:50 horas, la víctima fue atacada en la esquina de Calle 18 y avenida Perlillar. Las autoridades informaron que al llegar los primeros policías, hallaron al motociclista tirado y con un disparo en la cabeza; a su lado estaba su vehículo y su casco de protección.
En ese momento, el homicida intentó escapar, pero tras una breve persecución fue alcanzado por los vecinos de la colonia, quienes después de desarmarlo, lo golpearon y entregaron a los policías.
Agentes de la Secretaría de Seguridad Pública, adscritos al Sector Ticomán, lo pusieron a disposición del Ministerio Público.
Mientras tanto, el motociclista fue revisado por paramédicos que llegaron a atender la emergencia. Minutos después confirmaron el deceso de la víctima.
El cuerpo permaneció sobre la vía pública hasta que los peritos de la PGJ lo trasladaron al anfiteatro.
",,http://www.elgrafico.mx/la-roja/ejecuta-de-un-plomazo-al-amante-de-su-esposa-en-la-gustavo-madero
"Existe una cirugía que da la opción a personas transexuales de poder realizar un cambio de sexo de manera completa. Este procedimiento se conoce como cirugía de reasignación de sexo o género. En esta ocasión hablaremos del cambio de pene a vagina.
El doctor español Iván Mañero, en su página Cirugía de Género, portal médico especializado en el tema, explica paso a paso cómo se lleva a cabo este complejo procedimiento, cuyo nombre formal es vaginoplastia por inversión peneana.
Esta cirugía consiste en crear una vagina utilizando la piel invertida tanto del pene como del escroto. La forma y profundidad de la vagina reconstruida dependerá de la cantidad disponible de piel del pene, y la disposición anatómica de los órganos internos, pero los especialistas deben intentar que esta no sea inferior a los 15 centímetros.
La piel del pene se utiliza principalmente para crear las paredes vaginales mientras que para crear el clítoris se recurre a la piel del glande. Los elementos del pene que ya no tienen ningun función para la nueva vagina(muchos responsables de la erección) son eliminados.
Por su parte, la uretra (el conducto urinario) es cortada para disminuir su tamaño y se redirige en la ubicación adecuada para la vagina. De ser posible, si la uretra tiene un tamaño óptimo, puede ser usada para forrar los labios menores y paredes internas de la vulva.
Los testículos, que no tienen ninguna utilidad para la nueva vagina, son eliminados. A pesar de esto, la piel del escroto que los envuelve se utiliza también para formar los labios mayores y menores.
La siguiente fase de la cirugía consiste en reconstruir el clítoris con una porción del glande y con diferentes nervios que se han conservado con el objetivo de mantener la sensibilidad a la estimulación sexual.
Antes de someterse a este tipo de cirugía, las pacientes deben suspender el tratamiento hormonal durante cuatro semanas antes de la intervención debido a que los estrógenos (hormonas femeninas) en sangre aumentan el riesgo de padecer una trombosis venosa profunda.
",,https://www.elbotiquin.mx/medicina-general/como-es-la-cirugia-de-cambio-de-sexo
" 0 % PULSO SOCIAL0 Si hay algo que le gusta a las nuevas generaciones, es viajar. Conocer las maravillas escondidas de nuestro país o del mundo entero siempre nos genera emoción. Además, vivimos en un mundo tan globalizado que ya es posible visitar casi cualquier lugar del mundo, por más exótico que parezca.
De hecho, debes saberlo bien, hay aplicaciones que nos ofrecen recorridos virtuales a museos o sitios de interés; así que prácticamente tenemos todo al alcance de un clic.
Pero aún así, hay espacios que son prácticamente desconocidos, a los que, aunque quieras, no podrás entrar jamás. Algunos son verdaderas joyas naturales en las que no podrás poner un solo pie, debido a que ahí se albergan bases militares o que son objeto de sucesos paranormales.
Sí, aún en estos tiempos hay sitios donde se prohíbe el acceso al público y en De10.mx te decimos dónde se encuentran.
1. Bóveda del Museo Coca-Cola (Atlanta, Estados Unidos)
Aquí se resguarda uno de los secretos mejor guardados en el mundo: la fórmula secreta del refresco de cola. Sí, la tienen en una bóveda de gran seguridad y a través de los años ha sido celosamente vigilada. Son muy pocos los que han tenido acceso a ella. Primero estuvo custodiada en bancos y ahora se encuentra en el museo que rinde homenaje a dicho refresco.

(Foto: Coca-Cola México)
",,http://de10.com.mx/vivir-bien/2018/10/31/10-misteriosos-lugares-los-que-jamas-podras-entrar
"
El creador de ""Breaking Bad"", Vince Gilligan, está preparando una película sobre esta aclamada serie que protagonizó Bryan Cranston durante cinco temporadas, informó hoy el medio especializado The Hollywood Reporter.
Por el momento no se conocen demasiados detalles de este proyecto en el que Gilligan sería productor ejecutivo, escribiría el guion y, tal vez, también se sentaría en la silla del director.
Según The Hollywood Reporter, esta película tendría una duración de dos horas, pero no está claro si se estrenaría en los cines o si se emitiría en televisión.
Todavía no tiene título confirmado, aunque el proyecto se está desarrollando con el nombre provisional de ""Greenbrier"".
Tampoco se sabe si sería una precuela de ""Breaking Bad"", como la serie ahora en antena ""Better Call Saul"", o si se trataría de una secuela.
De la misma forma, no hay certeza por el momento de si Bryan Cranston y Aaron Paul, las dos estrellas de ""Breaking Bad"", aparecerían en esta cinta.
Ganadora de un Globo de Oro y dos Emmy a la mejor serie dramática, ""Breaking Bad"", que está considerada como una de las mejores producciones televisivas de la historia, giraba en torno a la transformación de un profesor de química que, tras ser diagnosticado de cáncer, se convierte en un narcotraficante. 
rad 
","Vince Gilligan prepara película sobre ""Breaking Bad""",http://www.eluniversal.com.mx/espectaculos/cine/vince-gilligan-prepara-pelicula-sobre-breaking-bad
"El azul índigo está impregnado en las uñas, los pies y en cada pliegue de las manos de un puñado de hombres que mueven con fuerza, y a gran velocidad, unas largas palas dentro de una pila de cemento con 4 mil litros de agua azulada y espumosa.
Le llaman añil, un colorante natural elaborado a base de la trituración y fermentación de la planta jiquilite, que hace generaciones llegó desde Centroamérica hasta el pueblo mulato de Niltepec, en los límites con Chiapas.
Nicolás Cruz López tiene 25 años y es uno de los 10 productores de añil que mantienen viva esta actividad en Niltepec, comunidad zoque de la zona oriente del Istmo de Tehuantepec. Es el único lugar de Oaxaca donde se produce este colorante, aunque en Chiapas y Centroamérica también se cultiva.
Nico, como lo conocen sus amigos, comenzó a producir el añil a los 16 años, con su padre. Actualmente participa, junto con su familia, en las tres etapas de la producción: siembra-cosecha, fermentación-pila y extracción.

El joven explica que desde hace ocho años vio cómo la producción disminuyó drásticamente por el cambio climático. Aseguran que la falta de lluvias y el terremoto del 7 de septiembre de 2017 mermaron aún más las cosechas.
“Antes del sismo algunos de los productores llegaron a cosechar hasta 100 kilos de añil. Ahora, algunas familias, como la mía, sólo lograremos a lo mucho 20”, destaca.
Nicolás agrega que quienes se dedican al añil estan convencidos que “el terremoto movió la tierra y las raíces” con tal fuerza que éstas se secaron. Luego, por la falta de lluvias las hojas del jiquilite no crecieron mucho y, por consecuencia, las manchas del tinte que se forman en sus hojas fueron pequeñas.
“Así que la producción es pobre, apenas sacaremos lo invertido en todo el año”, explica el joven.
El añil se cosecha una vez al año, así que la temporada fuerte es a finales de septiembre y principios de octubre, antes de que los vientos viejos del sur caigan sobre las plantaciones y las destrocen. El resto del año los hombres del añil se dedican a labrar sus parcelas o a otros oficios.
Pérdida y restauración
Octaviano Pérez Antonio tiene 63 años y es de los últimos habitantes de Niltepec que comenzó con el rescate del añil hace casi 20 años. Él recuerda que la producción cayó en los años 90, pero antes un grupo de productores de Santa María Guienagati, en la Sierra Mixe-Zapoteca, le compró las semillas del jiquilite para cosechar el añil, pero cuando en Niltepec las plantaciones desaparecieron, los nuevos productores fueron hasta Guienagati a comprar otra vez la semilla.

Fue así que el jiquilite regresó a Niltepec, pero después desapareció en la Sierra Mixe-Zapoteca, por lo que Niltepec volvió a convertirse en el único lugar donde se cosecha y ha transformando a sus habitantes en los guardianes del tinte.
Octaviano pertenece a la cooperativa Azul Añil, la más antigua en Niltepec, aunque existe una nueva organización que se llama El Cerro del Añil y otros productores independientes.
Posee sólo una hectárea de terreno sembrado con esta planta y calcaula que su producción tampoco rebasará los 20 kilos; en años anteriores cosechaba hasta 100 kilos. La producción de este año la ofertará al Museo del Textil en Oaxaca a mil 500 pesos el kilo.
El nacimiento del azul
El proceso de siembra comienza en mayo, para que en octubre, después de las lluvias, se dé el corte. En Niltepec se llegan a sembrar entre 10 y 15 hectáreas entre los 10 productores que existen.
Tras dos años de espera, las plantas del jiquilite están listas para cosecharse, pues sus hojas poseen las manchas de tintas más gruesas. En las plantas que tienen un año o menos, las manchas en sus hojas son pequeñas y la producción es pobre. Éstas fueron las que más se cosecharon en 2018, luego de la muerte de las plantas viejas tras el sismo.

Después del corte, las ramas se amarran y se llevan en carretas a tres estanques de cemento de distintas medidas: las que usan en Niltepec tienen más de 100 años de antigüedad. En la comunidad de Tapanatepec existen pilas con más de 200 años en haciendas abandonadas, lo que indica que el añil tuvo gran importancia en la zona oriente del Istmo.
Ya en las pilas, las hojas se colocan en el primer estanque, se trituran uy les añaden 4 mil litros de agua adicionada con un pegamento natural que se desprende de un fruto llamado en zapoteco gulabere. La mezcla se deja reposar 24 horas, logrando una especie de fermentación.
Al día siguiente, el agua escurre a un segundo tanque, en donde tres personas la mueven con largas palas por espacio de seis horas logrando que se haga espumosa y logre un azul turquesa.
Después, se le escurrir el excedente de agua. Por último, el líquido llega a un tercer tanque muy pequeño, el agua ya es espesa y de un color azul oscuro, en esta etapa se recolectan finalmente 10 cubetas de 19 litros cada uno.
La extracción y las mujeres
Argelia y Araceli, madre e hija, se integran al proceso de extracción del tinte al tercer día. Ellas colocan el agua espesa en unas mantas. Aquí, el agua se filtra y sólo queda una capa de pasta azul oscura, que luego comprimen, amarran y cuelgan hasta que deje de escurrir el agua.
Al cuarto día la pasta es colocada en pequeñas tejas al sol, el proceso de secado dura entre cuatro a ocho días, dependiendo del clima. Las mujeres se pasan los días vigilando las pastas, las voltean cada hora.

En ocasiones, el clima nublado favorece a que la pasta sea invadida por un hongo blanco que lo cubre hasta la petrificación, cuando esto sucede lo limpian con agua y limón hasta redescubrir el azul.
Las pastas, que humedas llegan a medir 30 centímetro, se encogen hasta tener un diámetro de 10 centímetros. Las piezas son parecidas al carbón con poco peso. El producto final limpio se vende por kilo a los artesanos de Oaxaca, Puebla y Veracruz, para teñir ropa, telas e hilos.
“Antes de la crisis mi patio se cubría de tejas con las pastas, sacábamos hasta 100 kilos. Este año sólo logramos cubrir una mesa, a lo mucho 20 kilos, perdimos 80% de la producción. Este año no habrá tanto tinte para pintar hilos y telas, tampoco tendremos mucho dinero, ganancia, ni nada”, explica Argelia López Lorenzo, esposa de Octaviano.
Argelia recuerda que hasta Niltepec llegaban los habitantes de otros pueblos del Istmo para comprar añil y pintar sus casas de lodo. También lo utilizaban para lavar la ropa blanca porque terminaba con destellos de azul.

Ahora Araceli, hija de Argelia, busca implementar junto con su madre un proyecto de teñido de hilos desde su casa, aprovechando la materia prima que su misma familia extrae cada año. Las dos mujeres fueron capacitadas por una organización en el proceso del teñido; ahora necesitan financiamiento para comprar hilos y arrancar el proyecto. EL UNIVERSAL Oaxaca
","Los últimos guardianes que conservan el azul añil en Niltepec, Oaxaca",http://oaxaca.eluniversal.com.mx/especiales/07-10-2018/los-ultimos-guardianes-que-conservan-el-azul-anil-en-niltepec-oaxaca
"Ante la llegada de la caravana migrante centroamericana a la Ciudad de México, los capitalinos no tardaron en reaccionar a este suceso.
En la plataforma de Facebook, surgió un evento masivo que lleva por nombre ""Caravana Migrante a DUBAI"".
Presuntamente, los internautas crearon este acontecimiento a modo de broma, tras la reciente presencia del contingente en territorio mexicano.
En la descripción, los usuarios de redes sociales manifestaron el supuesto motivo de salida de su país:
""Mega Caravana Migrante a DUBAI en busca de un mejor presente y futuro para nosotros y los nuestros, buscaremos refugio, comida, vestido y lujos, como solo los arabes se pueden dar"".
Hasta el momento, el evento está programado para el 1 de enero de 2019, en el Zócalo capitalino; cuenta con 115 mil personas interesadas y unos 36 mil asistentes.

(Foto: Cortesía Facebook)
",,http://www.elgrafico.mx/viral/mexicanos-le-copian-centroamericanos-y-preparan-caravana-migrante-dubai
"
[email protected]

El robo de cuatro bicicletas Mobike en las inmediaciones de la Zona Rosa reveló el nuevo modus operandi de la Unión de Tepito: sus dealers utilizan esa aplicación para la repartición de drogas en sectores como Polanco, el corredor Roma-Condesa y, sobre todo, en la avenida Reforma.

A decir de la investigación de la Procuraduría General de la Justicia capitalina (PGJ-CDMX), usando estas unidades pasan desapercibidos frente a las autoridades.

El lunes pasado la empresa Mobike reportó la desaparición de cuatro unidades y activaron los aparatos de GPS que tienen colocados para su rastrero, así fue como las ubicaron en una vecindad de la calle Paraguay, en la zona centro de la alcaldía Cuauhtémoc, al acudir elementos policiacos a petición de la empresa afectada, se encontraron las bicicletas que fueron robadas la semana pasada.

Junto a las bicicletas estaban varios envoltorios de diversas drogas —listas para su distribución y venta—, así como tres armas, una 9 milímetros y dos calibre .22. En el lugar se detuvo a Gerardo “N”, de 45 años, Carlos Gabriel “N”, de 20, Uriel Christopher “N”, de 24, y Jonathan “N”, de 34.

Los imputados confesaron ser los responsables del robo de las bicicletas y también que usan las Mobikes para repartir droga. Al indagar a los detenidos, encontraron que el de 45 años y el de 34 tienen antecedentes penales por los delitos de robo y contra la salud, a ellos se les relacionó con el Cártel de la Unión Tepito, por lo que no se descarta que la droga también sea de la misma agrupación criminal.

Las autoridades han documentado que durante este año el robo de bicicletas de app se ha convertido en una constante, al igual que las mochilas usadas para repartir comida, las cuales son empleadas para la distribución de drogas.

A decir de la carpeta de investigación CI-FCH/CUH-2/UI-1 C/D/8316/11-2018, durante los primeros meses del año, se han recuperado 15 bicicletas en vecindades de las alcaldías Cuauhtémoc y Venustiano Carranza, principalmente en las colonias Tepito, Morelos, Doctores y la Guerrero.
",Usan bicis robadas para trasladar droga ,http://www.eluniversal.com.mx/metropoli/usan-bicis-robadas-para-trasladar-droga
"Oziel Muñoz Reyes, ex integrante de Exatlón México es quien más cosas negativas ha dicho de sus ex compañeros.
Este concursante formó parte del equipo Contendientes, pero se salió junto a otros 6 integrantes.
La razón fue el accidente que sufrieron cuatro de ellos. Los otros tres, entre ellos Oziel, decidieron unirse a esta salida por empatía.
Tres de los Contendientes se quedaron: Javier, Natali y Evelyn.
Para Oziel esto no fue bien visto, en una transmisión en vivo dijo que no apoyaba a los azules por estas tres personas.
Dejó claro que Natali Brito no es para nada su amiga y que en realidad no el cae nada bien.
La llamó incluso ""pende..."", e incluso dijo que ""el día que Natali pisó la cabaña se fue a la ver..(sic) todo"".
Oziel destacó por ser un tanto grosero y apático en algunas cosas del reality.
Le molestaban las porras, no le gustaba el bailecito de Javi.
De hecho tuvo varias rencillas con sus compañeros por su forma de ser.
Oziel se dedica a las artes marciales y ahora venderá lentes.
En su cuenta de Instagram comparte mucho de su día a día.
TE PUEDE INTERESAR
Misael Rodríguez, ¿infiel en Exatlón con Evelyn?
Infidelidades en Exatlón México
Pato Araujo el odiado de Exatlón México
 
 
 
 
 
 
",Oziel y su odio a Contendientes de Exatlón,http://www.unionyucatan.mx/articulo/2018/11/07/espectaculos/oziel-y-su-odio-contendientes-de-exatlon
